Date,Value
3/20/2014,1.12679843
3/19/2014,1.117300367
3/18/2014,1.104517336
3/17/2014,1.106932259
3/14/2014,1.108686258
3/13/2014,1.106584421
3/12/2014,1.113631454
3/11/2014,1.111191336
3/10/2014,1.110798934
3/7/2014,1.098387793
3/6/2014,1.103092033
3/5/2014,1.106175357
3/4/2014,1.107205113
3/3/2014,1.109674608
2/28/2014,1.111778759
2/27/2014,1.113063855
2/26/2014,1.109573073
2/25/2014,1.107532354
2/24/2014,1.109792501
2/21/2014,1.116509813
2/20/2014,1.108200788
2/19/2014,1.09501637
2/18/2014,1.096715461
2/17/2014,1.096065406
2/14/2014,1.095571606
2/13/2014,1.100329068
2/12/2014,1.099977897
2/11/2014,1.103612167
2/10/2014,1.104487462
2/7/2014,1.106895536
2/6/2014,1.105965172
2/5/2014,1.10581112
2/4/2014,1.107330424
2/3/2014,1.107571492
1/31/2014,1.119488014
1/30/2014,1.118019744
1/29/2014,1.115005879
1/28/2014,1.114367353
1/27/2014,1.104114805
1/24/2014,1.106232191
1/23/2014,1.114377887
1/22/2014,1.096564942
1/21/2014,1.099881709
1/20/2014,1.093763821
1/17/2014,1.096878681
1/16/2014,1.092226226
1/15/2014,1.095472586
1/14/2014,1.08897344
1/13/2014,1.091035594
1/10/2014,1.08758372
1/9/2014,1.085806641
1/8/2014,1.080770928
1/7/2014,1.069203138
1/6/2014,1.065725629
1/3/2014,1.061170603
1/2/2014,1.063113194
12/31/2013,1.063809731
12/30/2013,1.071174635
12/27/2013,1.066381931
12/24/2013,1.06102017
12/23/2013,1.059991242
12/20/2013,1.069205419
12/19/2013,1.071925075
12/18/2013,1.063422794
12/17/2013,1.05876791
12/16/2013,1.058289779
12/13/2013,1.065491367
12/12/2013,1.057785844
12/11/2013,1.059126898
12/10/2013,1.062109091
12/9/2013,1.066389739
12/6/2013,1.064929361
12/5/2013,1.065690746
12/4/2013,1.065626839
12/3/2013,1.065326263
12/2/2013,1.062869385
11/29/2013,1.057527
11/28/2013,1.057680989
11/27/2013,1.057811121
11/26/2013,1.052483945
11/25/2013,1.056089981
11/22/2013,1.054076047
11/21/2013,1.047283254
11/20/2013,1.045686405
11/19/2013,1.04369723
11/18/2013,1.041725235
11/15/2013,1.046433878
11/14/2013,1.049866032
11/13/2013,1.048900485
11/12/2013,1.049508636
11/11/2013,1.047185307
11/8/2013,1.045491773
11/7/2013,1.043022821
11/6/2013,1.044018643
11/5/2013,1.042907959
11/4/2013,1.040130312
11/1/2013,1.042724917
10/31/2013,1.044718129
10/30/2013,1.044274809
10/29/2013,1.044378268
10/28/2013,1.044399304
10/25/2013,1.0437686
10/24/2013,1.04005795
10/23/2013,1.031777196
10/22/2013,1.029983911
10/21/2013,1.029413917
10/18/2013,1.029596609
10/17/2013,1.02979066
10/16/2013,1.037312883
10/15/2013,1.035722226
10/14/2013,1.035166618
10/11/2013,1.038920831
10/10/2013,1.03850133
10/9/2013,1.038031817
10/8/2013,1.030789629
10/7/2013,1.032272325
10/4/2013,1.033031707
10/3/2013,1.033764896
10/2/2013,1.03499815
10/1/2013,1.030101815
9/30/2013,1.030136986
9/27/2013,1.031764793
9/26/2013,1.03037262
9/25/2013,1.031101896
9/24/2013,1.028501447
9/23/2013,1.029686112
9/20/2013,1.028414977
9/19/2013,1.020967147
9/18/2013,1.03070701
9/17/2013,1.031296795
9/16/2013,1.030096579
9/13/2013,1.033396014
9/12/2013,1.031978932
9/11/2013,1.033765451
9/10/2013,1.033534743
9/9/2013,1.038274973
9/6/2013,1.043073874
9/5/2013,1.048098773
9/4/2013,1.048819376
9/3/2013,1.052535682
9/2/2013,1.053002196
8/30/2013,1.052965621
8/29/2013,1.049525102
8/28/2013,1.048999775
8/27/2013,1.052631579
8/26/2013,1.052615822
8/23/2013,1.056832647
8/22/2013,1.04961345
8/21/2013,1.043484758
8/20/2013,1.03770908
8/19/2013,1.033123501
8/16/2013,1.032308846
8/15/2013,1.032714146
8/14/2013,1.03367817
8/13/2013,1.031978932
8/12/2013,1.031099398
8/9/2013,1.029088462
8/8/2013,1.041092814
8/7/2013,1.042314919
8/6/2013,1.0375
8/5/2013,1.03960172
8/2/2013,1.040218132
8/1/2013,1.029767301
7/31/2013,1.029679849
7/30/2013,1.025971093
7/29/2013,1.02758101
7/26/2013,1.028506787
7/25/2013,1.029616725
7/24/2013,1.027027027
7/23/2013,1.033383915
7/22/2013,1.034330852
7/19/2013,1.037720034
7/18/2013,1.041778049
7/17/2013,1.039585871
7/16/2013,1.041088581
7/15/2013,1.042729788
7/12/2013,1.038591376
7/11/2013,1.040478381
7/10/2013,1.051666276
7/9/2013,1.054522828
7/8/2013,1.055797665
7/5/2013,1.052084142
7/4/2013,1.054374615
7/3/2013,1.054402346
7/2/2013,1.056771914
7/1/2013,1.051929125
6/28/2013,1.048470948
6/27/2013,1.043508287
6/26/2013,1.047988329
6/25/2013,1.048423938
6/24/2013,1.054332875
6/21/2013,1.03983308
